Feature,Mean_Absolute_SHAP
BB_Position,0.24237645608106353
RSI_Normalized,0.09386528164861813
Daily_Return,0.08557359822539577
Month_Cos,0.07212611089141842
Close_vs_MA_5,0.06429927166480248
Close_vs_MA_10,0.06293570113105533
Month_Sin,0.05872419654850176
Volatility_10,0.050600299957861854
MACD_Percentage,0.0495349196319054
Open_Close_Change,0.04904693230734751
MA_5_vs_MA_20,0.04699893551133703
Day_Cos,0.04249567227686414
EMA_12_vs_EMA_26,0.036605218870677414
Return_Lag_3,0.01892306986645914
Price_Range,0.013837150750844854
Day_Sin,0.011770165691487146
Volume_Change,0.008045331747157533
Return_Lag_2,0.004708395222625023
BB_Width,0.0025114474421034675
Close_vs_MA_20,0.0019548031611992815
Return_Lag_1,0.0007213686158459018
