Window,Feature_Group,Model,Training_Rows,Accuracy,F1_Score,ROC_AUC
From 2020,Market + Sentiment,Logistic Regression,573,0.5075528700906344,0.5045592705167173,0.4963474322448682
From 2019,Market Only,Random Forest,825,0.4984894259818731,0.5229885057471264,0.4882022061509241
From 2019,Market + Sentiment,Logistic Regression,825,0.4743202416918429,0.3829787234042553,0.4857184600774344
From 2020,Market Only,Logistic Regression,573,0.5226586102719033,0.5752688172043011,0.4854627803345752
From 2019,Market Only,Logistic Regression,825,0.5015105740181269,0.5352112676056338,0.4830155599386369
From 2021,Market + Sentiment,Logistic Regression,320,0.486404833836858,0.5277777777777778,0.4787420556651326
From 2021,Market Only,LightGBM,320,0.4954682779456193,0.5424657534246575,0.4780480677916576
All History,Market Only,Random Forest,1547,0.48036253776435045,0.5195530726256983,0.4765505150120534
All History,Market + Sentiment,Logistic Regression,1547,0.4652567975830816,0.3832752613240418,0.4756373730732705
From 2019,Market + Sentiment,Random Forest,825,0.46827794561933533,0.38028169014084506,0.4731171013222295
From 2019,Market Only,XGBoost,825,0.5015105740181269,0.5669291338582677,0.4726422675140624
From 2020,Market Only,Random Forest,573,0.513595166163142,0.5439093484419264,0.47249616480385714
From 2021,Market + Sentiment,Random Forest,320,0.48942598187311176,0.5072886297376094,0.4709986120242531
All History,Market Only,Logistic Regression,1547,0.49244712990936557,0.5029585798816568,0.46884359704872525
From 2019,Market Only,LightGBM,825,0.48036253776435045,0.4880952380952381,0.46844181459566075
From 2021,Market Only,Random Forest,320,0.48338368580060426,0.5014577259475219,0.46800350646504507
All History,Market + Sentiment,Random Forest,1547,0.49244712990936557,0.43243243243243246,0.46537365768135003
From 2021,Market + Sentiment,LightGBM,320,0.4743202416918429,0.5112359550561798,0.46515450361604205
From 2021,Market Only,Logistic Regression,320,0.5015105740181269,0.5325779036827195,0.4645335670976697
From 2019,Market + Sentiment,LightGBM,825,0.459214501510574,0.4013377926421405,0.4644239900650157
All History,Market + Sentiment,XGBoost,1547,0.4743202416918429,0.5271739130434783,0.46288991160786036
From 2019,Market + Sentiment,XGBoost,825,0.4743202416918429,0.49122807017543857,0.4612097304404997
From 2020,Market Only,XGBoost,573,0.486404833836858,0.5812807881773399,0.45777631675067565
All History,Market Only,XGBoost,1547,0.4622356495468278,0.5615763546798029,0.45540214770984
From 2020,Market + Sentiment,Random Forest,573,0.4622356495468278,0.41830065359477125,0.4533932354445175
From 2021,Market Only,XGBoost,320,0.459214501510574,0.484149855907781,0.4533567097669662
From 2020,Market + Sentiment,XGBoost,573,0.4984894259818731,0.546448087431694,0.4470742932281394
All History,Market Only,LightGBM,1547,0.4471299093655589,0.4633431085043988,0.4465629337424209
From 2021,Market + Sentiment,XGBoost,320,0.4501510574018127,0.48,0.4393673752648111
From 2020,Market Only,LightGBM,573,0.459214501510574,0.5095890410958904,0.4385638103586822
From 2020,Market + Sentiment,LightGBM,573,0.4561933534743202,0.4642857142857143,0.42833662064431294
All History,Market + Sentiment,LightGBM,1547,0.44108761329305135,0.3853820598006645,0.42808094090145365
